scale_factor,column,codec,raw_bytes,compressed_bytes,ratio,bits_per_value,n_distinct,notes
100,l_partkey,FOR,4,4,1.0,25,7882383,range=19999997
100,l_partkey,FOR+bitpack,4,3.125,1.28,25,7882383,
100,l_partkey,dictionary,4,3,1.33,23,7882383,7882383 distinct values
100,l_partkey,mostly_op_dict,4,8.999,0.44,72.0,7882383,"coverage=0.0%, escapes=9998453"
100,l_suppkey,FOR,4,3,1.33,20,999949,range=999999
100,l_suppkey,FOR+bitpack,4,2.5,1.6,20,999949,
100,l_suppkey,dictionary,4,3,1.33,20,999949,999949 distinct values
100,l_suppkey,mostly_op_dict,4,8.995,0.44,72.0,999949,"coverage=0.1%, escapes=9993965"
100,l_linenumber,FOR,4,1,4.0,3,7,range=6
100,l_linenumber,FOR+bitpack,4,0.375,10.67,3,7,
100,l_linenumber,dictionary,4,1,4.0,3,7,7 distinct values
100,l_linenumber,mostly_op_dict,4,1,4.0,8,7,"coverage=100.0%, escapes=0"
